keyword,subsequent manually curration,excluded vaccine strains,DDBJ_IdStart_patent,EMBL_IdStart_patent,Genbank_IdStart_patent,lab host
NanoLuc,no,Schwarz FF-8,E,A,I,chimpansee
GFP,no,AIK-C,BD,AX,AR,
reporter,yes,Leningrad-16,DD,CQ,DZ,
vaccine,yes,CAM-70,DI,CS,EA,
mutant,yes,TD 97,DJ,FB,GC,
cold-passaged,yes,Shanghai 191,DL,GM,GP,
cold passaged,yes,Ji-191,DM,GN,GV,
temperature,yes,Biken,FU,HA,GX,
mouse AND adapted,yes,Urabe,FV,HB,GY,
experimental strain,yes,Jeryl Lynn,FW,HC,GZ,
cell-adapted,yes,Hoshino,FZ,HD,HJ,
ATCC derived strains,yes,Leningrad-3,GB,HH,HK,
experimentally infected,yes,L-Zagreb,HV,HI,HL,
attenuat,yes,Miyahara,HW,JA,KH,
experimental strain,yes,Torii,HZ,JB,MI,
,,NK M-46,LF,JC,MM,
,,S-12,LG,JD,MO,
,,RIT 4385,LV,JE,MV,
,,Smith-Kline Beecham,LX,LP,,
,,17D,LY,LQ,,
,,,LZ,MP,,
,,,MA,MQ,,
,,,MB,MR,,
,,,MC,MS,,
,,,MD,,,
,,,ME,,,
,,,OF,,,
