virus,lineage,ID
BCoV1,GL_1,MG197716.1
BCoV1,GL_1,MG197717.1
BCoV1,GL_1,MG197722.1
BCoV1,GL_1,MG197710.1
BCoV1,GL_1,MG197712.1
BCoV1,GL_1,MG197715.1
BCoV1,GL_1,MG197713.1
BCoV1,GL_1,KF923902.1
BCoV1,GL_1,KX538978.1
BCoV1,GL_1,MK303622.1
BCoV1,GL_1,KX538979.1
BCoV1,GL_1,KX538966.1
BCoV1,GL_1,MK303620.1
BCoV1,GL_1,KX538976.1
BCoV1,GL_1,KX538972.1
BCoV1,GL_1,KF923904.1
BCoV1,GL_1,KX538964.1
BCoV1,GL_1,KX538970.1
BCoV1,GL_1,MN026164.1
BCoV1,GL_1,MG977451.1
BCoV1,GL_1,MG977445.1
BCoV1,GL_1,MG977444.1
BCoV1,GL_1,MF374983.2
BCoV1,GL_1,MN306042.1
BCoV1,GL_1,MN306053.1
BCoV1,GL_1,MN306041.1
BCoV1,GL_1,KY369905.1
BCoV1,GL_1,KY967358.1
BCoV1,GL_1,KY983583.1
BCoV1,GL_1,KY684759.1
BCoV1,GL_1,MG197723.1
BCoV1,GL_1,KY369906.1
BCoV1,GL_1,KY983585.1
BCoV1,GL_1,MH121121.1
BCoV1,GL_1,KY369907.1
BCoV1,GL_1,MF374985.2
BCoV1,GL_1,KF923897.1
BCoV1,GL_1,KF923903.1
BCoV1,GL_1,KX538975.1
BCoV1,GL_1,KX538969.1
BCoV1,GL_1,KX538977.1
BCoV1,GL_1,KX538967.1
BCoV1,GL_1,KX538965.1
BCoV1,GL_1,KX538973.1
BCoV1,GL_1,KX538968.1
BCoV1,GL_1,KX538974.1
BCoV1,GL_1,KX538971.1
BCoV1,GL_1,MK303621.1
BCoV1,GL_1,MK303623.1
BCoV1,GL_1,MK303624.1
BCoV1,GL_1,MK303619.1
BCoV1,GL_1,KX344031.1
BCoV1,GL_1,MH685718.1
BCoV1,GL_1,KY554974.1
BCoV1,GL_1,KY674920.1
BCoV1,GL_1,KF923912.1
BCoV1,GL_1,KF923890.1
BCoV1,GL_1,KF923907.1
BCoV1,GL_1,KF923911.1
BCoV1,GL_1,KF923916.1
BCoV1,GL_1,KF923909.1
BCoV1,GL_1,KF923892.1
BCoV1,GL_1,KF923921.1
BCoV1,GL_1,KF923908.1
BCoV1,GL_1,KF923919.1
BCoV1,GL_1,KF923914.1
BCoV1,GL_1,KF923894.1
BCoV1,GL_1,KF923915.1
BCoV1,GL_1,KF923913.1
BCoV1,GL_1,KF923920.1
BCoV1,GL_1,KF923917.1
BCoV1,GL_1,KF923901.1
BCoV1,GL_1,KF923891.1
BCoV1,GL_1,KF923910.1
BCoV1,GL_1,KF923923.1
BCoV1,GL_1,KJ958218.1
BCoV1,GL_1,KJ958219.1
BCoV1,GL_1,KF923925.1
BCoV1,GL_1,KF923922.1
BCoV1,GL_1,KF923893.1
BCoV1,GL_1,KF923918.1
BCoV1,GL_1,KF923895.1
BCoV1,GL_1,KF923924.1
BCoV1,GL_1,KY554972.1
BCoV1,GL_1,AY903460.1
