virus,tree,peptide,dNdS,fract,meandNdS
BCoV1,BCoV1_1,E,0.1182,0.008,0.1283188
BCoV1,BCoV1_1,HE,0.235,0.042,0.1283188
BCoV1,BCoV1_1,M,0.1327,0.023,0.1283188
BCoV1,BCoV1_1,N,0.2208,0.045,0.1283188
BCoV1,BCoV1_1,ORF5,0.1576,0.011,0.1283188
BCoV1,BCoV1_1,S,0.1743,0.136,0.1283188
BCoV1,BCoV1_1,ns2,0.2043,0.028,0.1283188
BCoV1,BCoV1_1,nsp1,0.1491,0.024,0.1283188
BCoV1,BCoV1_1,nsp10,0.0505,0.014,0.1283188
BCoV1,BCoV1_1,nsp12,0.0379,0.092,0.1283188
BCoV1,BCoV1_1,nsp13,0.0377,0.06,0.1283188
BCoV1,BCoV1_1,nsp14,0.0675,0.052,0.1283188
BCoV1,BCoV1_1,nsp15,0.1551,0.037,0.1283188
BCoV1,BCoV1_1,nsp16,0.0578,0.03,0.1283188
BCoV1,BCoV1_1,nsp2,0.1562,0.06,0.1283188
BCoV1,BCoV1_1,nsp3,0.1458,0.189,0.1283188
BCoV1,BCoV1_1,nsp4,0.1037,0.049,0.1283188
BCoV1,BCoV1_1,nsp5,0.1275,0.03,0.1283188
BCoV1,BCoV1_1,nsp6,0.0775,0.029,0.1283188
BCoV1,BCoV1_1,nsp7,0.0621,0.009,0.1283188
BCoV1,BCoV1_1,nsp8,0.1555,0.02,0.1283188
BCoV1,BCoV1_1,nsp9,0.0535,0.011,0.1283188
BCoV1,BCoV1_main,E,0.1499,0.008,0.127301
BCoV1,BCoV1_main,HE,0.2079,0.042,0.127301
BCoV1,BCoV1_main,M,0.1491,0.023,0.127301
BCoV1,BCoV1_main,N,0.2378,0.045,0.127301
BCoV1,BCoV1_main,ORF5,0.1619,0.011,0.127301
BCoV1,BCoV1_main,S,0.1832,0.136,0.127301
BCoV1,BCoV1_main,ns2,0.1741,0.028,0.127301
BCoV1,BCoV1_main,nsp1,0.1262,0.024,0.127301
BCoV1,BCoV1_main,nsp10,0.0247,0.014,0.127301
BCoV1,BCoV1_main,nsp12,0.0289,0.092,0.127301
BCoV1,BCoV1_main,nsp13,0.0408,0.06,0.127301
BCoV1,BCoV1_main,nsp14,0.0616,0.052,0.127301
BCoV1,BCoV1_main,nsp15,0.1423,0.037,0.127301
BCoV1,BCoV1_main,nsp16,0.0331,0.03,0.127301
BCoV1,BCoV1_main,nsp2,0.1521,0.06,0.127301
BCoV1,BCoV1_main,nsp3,0.1545,0.189,0.127301
BCoV1,BCoV1_main,nsp4,0.1201,0.049,0.127301
BCoV1,BCoV1_main,nsp5,0.1048,0.03,0.127301
BCoV1,BCoV1_main,nsp6,0.1039,0.029,0.127301
BCoV1,BCoV1_main,nsp7,0.0704,0.009,0.127301
BCoV1,BCoV1_main,nsp8,0.1252,0.02,0.127301
BCoV1,BCoV1_main,nsp9,0.02,0.011,0.127301
BCoV1,BCoV1_sub1,E,0.06455,0.008,0.1365185
BCoV1,BCoV1_sub1,HE,0.268,0.042,0.1365185
BCoV1,BCoV1_sub1,M,0.16035,0.023,0.1365185
BCoV1,BCoV1_sub1,N,0.34265,0.045,0.1365185
BCoV1,BCoV1_sub1,ORF5,0.13375,0.011,0.1365185
BCoV1,BCoV1_sub1,S,0.15085,0.136,0.1365185
BCoV1,BCoV1_sub1,ns2,0.19255,0.028,0.1365185
BCoV1,BCoV1_sub1,nsp1,0.1653,0.024,0.1365185
BCoV1,BCoV1_sub1,nsp10,0.04235,0.014,0.1365185
BCoV1,BCoV1_sub1,nsp12,0.0341,0.092,0.1365185
BCoV1,BCoV1_sub1,nsp13,0.0304,0.06,0.1365185
BCoV1,BCoV1_sub1,nsp14,0.146,0.052,0.1365185
BCoV1,BCoV1_sub1,nsp15,0.1638,0.037,0.1365185
BCoV1,BCoV1_sub1,nsp16,0.07335,0.03,0.1365185
BCoV1,BCoV1_sub1,nsp2,0.1716,0.06,0.1365185
BCoV1,BCoV1_sub1,nsp3,0.14365,0.189,0.1365185
BCoV1,BCoV1_sub1,nsp4,0.14245,0.049,0.1365185
BCoV1,BCoV1_sub1,nsp5,0.062,0.03,0.1365185
BCoV1,BCoV1_sub1,nsp6,0.0838,0.029,0.1365185
BCoV1,BCoV1_sub1,nsp7,0.1041,0.009,0.1365185
BCoV1,BCoV1_sub1,nsp8,0.14315,0.02,0.1365185
BCoV1,BCoV1_sub1,nsp9,0.03365,0.011,0.1365185
BCoV1,BCoV1_sub2,E,0.4329,0.008,0.1208539
BCoV1,BCoV1_sub2,HE,0.1827,0.042,0.1208539
BCoV1,BCoV1_sub2,M,0.1409,0.023,0.1208539
BCoV1,BCoV1_sub2,N,0.2265,0.045,0.1208539
BCoV1,BCoV1_sub2,ORF5,0.1598,0.011,0.1208539
BCoV1,BCoV1_sub2,S,0.1292,0.136,0.1208539
BCoV1,BCoV1_sub2,ns2,0.2359,0.028,0.1208539
BCoV1,BCoV1_sub2,nsp1,0.2648,0.024,0.1208539
BCoV1,BCoV1_sub2,nsp10,0.0985,0.014,0.1208539
BCoV1,BCoV1_sub2,nsp12,0.0423,0.092,0.1208539
BCoV1,BCoV1_sub2,nsp13,0.0491,0.06,0.1208539
BCoV1,BCoV1_sub2,nsp14,0.02,0.052,0.1208539
BCoV1,BCoV1_sub2,nsp15,0.1305,0.037,0.1208539
BCoV1,BCoV1_sub2,nsp16,0.0402,0.03,0.1208539
