subalignment	id
EVAd10	JX390656.1
EVAd10	MH118069.1
EVAd10	MH118072.1
EVAd10	MH118055.1
EVAd10	MH144592.1
EVAd10	MF678312.1
EVAd10	LT719058.1
EVAd10	LT719059.1
EVAd10	LT617116.1
EVAd10	MK965226.1
EVAd10	KX768157.1
EVAd10	MK301476.1
EVAd10	MH118053.1
EVAd10	KX595290.1
EVAd10	MF422532.1
EVAd10	LT617118.1
EVAd10	MH118041.1
EVAd10	MH118048.1
EVAd10	MH144591.1
EVAd10	LT719056.1
EVAd10	MH118056.1
EVAd10	MH144599.1
EVAd10	MH780729.1
EVAd10	MN964081.1
EVAd10	MH086048.1
EVAd10	LC483986.1
EVAd10	MH118084.1
EVAd10	MH118088.1
EVAd10	MH118080.1
EVAd10	MF678334.1
EVAd10	LR027549.1
EVAd10	MH111018.1
EVAd10	MF422535.1
EVAd10	MG571858.1
EVAd10	MF678338.1
EVAd10	NC_038306.1
EVAd10	KP289357.1
EVAd10	KX156350.1
EVAd10	MH118043.1
EVAd10	MH118047.1
EVAd10	MH118078.1
EVAd10	MH118045.1
EVAd10	MH118038.1
EVAd10	MH118033.1
EVAd10	MH118036.1
EVAd10	MH118039.1
EVAd10	MH118023.1
EVAd10	MH118063.1
EVAd10	MH118075.1
EVAd10	MH118050.1
EVAd10	MH118090.1
EVAd10	MH118070.1
EVAd10	MH118081.1
EVAd10	MH118060.1
EVAd10	MH086049.1
EVAd10	MF678333.1
EVAd10	KP676984.1
EVAd10	MK658830.1
EVAd10	MT814417.1
EVAd10	MT814449.1
EVAd10	KP289388.1
EVAd10	AB779616.1
EVAd10	MT814481.1
EVAd10	MT814615.1
EVAd10	KP289393.1
EVAd10	MF578379.1
EVAd10	LT719048.1
EVAd10	LT719047.1
EVAd10	MT350228.1
EVAd10	MT814424.1
EVAd10	MT814408.1
EVAd10	LR027552.1
EVAd10	KM609476.1
EVAd10	MT648783.1
EVAd10	KM609475.1
EVAd10	MT648782.1
EVAd10	MH111056.1
EVAd10	KT961655.1
EVAd10	KT961658.1
EVAd10	EF667343.1
EVAd10	KT961653.1
EVAd10	KT961654.1
EVAd10	MT814549.1
EVAd10	MN845852.1
EVAd10	MH539787.1
EVAd10	MT814421.1
