virus	lineage	ID
H3N2	new	MT245551
H3N2	new	MT342292
H3N2	new	MT245546
H3N2	new	MT105394
H3N2	new	MT245530
H3N2	new	MT342304
H3N2	new	MT245426
H3N2	new	MN948512
H3N2	new	MT056226
H3N2	new	MT030995
H3N2	new	MT245538
H3N2	new	MT031118
H3N2	new	MN638475
H3N2	new	MT031211
H3N2	new	MT375667
H3N2	new	MN881936
H3N2	new	MT341968
H3N2	new	MT031539
H3N2	new	MT246167
H3N2	new	MT246159
H3N2	new	MN881847
H3N2	new	MN975691
H3N2	new	MT169268
H3N2	new	MN519386
H3N2	new	MN581508
H3N2	new	MN755080
H3N2	new	MT031635
H3N2	new	MN319198
H3N2	new	MN507323
H3N2	new	MN319350
H3N2	new	MN638483
H3N2	new	MN371533
H3N2	new	MN974396
H3N2	new	MN755040
H3N2	new	MN507380
H3N2	new	MN638507
H3N2	new	MN519338
H3N2	new	MN424499
H3N2	new	MN424254
H3N2	new	MT342177
H3N2	new	MT245323
H3N2	new	MN581552
H3N2	new	MN819955
H3N2	new	MN820235
H3N2	new	MN881855
H3N2	new	MN948993
H3N2	new	MN819939
H3N2	new	MT169276
H3N2	new	MT169364
H3N2	new	MN975739
H3N2	new	MN519362
H3N2	new	MN424067
H3N2	new	MN371525
H3N2	new	MT169405
H3N2	new	MT306397
H3N2	new	MT306391
H3N2	new	MT306384
H3N2	new	MT306404
H3N2	new	MT306429
H3N2	new	MT169388
H3N2	new	MN881863
H3N2	new	MN755401
H3N2	new	MN820187
H3N2	new	MN881839
H3N2	new	MT056394
H3N2	new	MT168626
H3N2	new	MT169036
H3N2	new	MT306477
H3N2	new	MN552596
H3N2	new	MN552564
H3N2	new	MT056498
H3N2	new	MT031555
H3N2	new	MT031563
H3N2	new	MN949049
H3N2	new	MN820147
H3N2	new	MN371581
H3N2	new	MN507307
H3N2	new	MN424179
H3N2	new	MN581528
H3N2	new	MN424507
H3N2	new	MN519346
H3N2	new	MT467051
H3N2	new	MT245941
H3N2	new	MN820307
H3N2	new	MT168853
H3N2	new	MN881811
H3N2	new	MN819899
H3N2	new	MN948436
H3N2	new	MN820243
H3N2	new	MN949065
H3N2	new	MN975659
H3N2	new	MN819857
H3N2	new	MT245483
H3N2	new	MN638469
H3N2	new	MN820419
H3N2	new	MT245458
H3N2	new	MN820299
H3N2	new	MN948489
H3N2	new	MN820315
H3N2	new	MN976042
H3N2	new	MN975766
H3N2	new	MT169397
H3N2	new	MN975866
H3N2	new	MT422953
H3N2	new	MT105434
H3N2	new	MN820035
